from_ensembl	to_ensembl
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000142606'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000162687'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291791'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000157326'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000153498'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000135220'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000103222'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000134030'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000292234'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000281540'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000274829'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000164741'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000280563'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000277363'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000281877'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000100605'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291488'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000281151'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000151067'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000275544'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000144741'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000277564'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000278619'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000275746'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000163602'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000284762'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000141556'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000232280'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000237155'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000273993'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000174469'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000262634'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000133195'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000285023'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000285327'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000140481'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000266074'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000231925'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000276876'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000243570'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000157881'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000274211'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000235754'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000261678'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000274577'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000256463'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000054392'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000144355'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000171056'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000285109'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000275555'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000281216'}
