timestep,mean_real_neighbor_fraction,median_real_neighbor_fraction,fraction_near_zero,near_zero_threshold,balanced_count,random_mixing_baseline
999,0.0,0.0,1.0,0.05,3000,0.5000833472245374
900,0.0,0.0,1.0,0.05,3000,0.5000833472245374
700,0.018933333333333333,0.0,0.9463333333333334,0.05,3000,0.5000833472245374
500,0.13646666666666665,0.03333333333333333,0.529,0.05,3000,0.5000833472245374
300,0.19373333333333334,0.13333333333333333,0.3353333333333333,0.05,3000,0.5000833472245374
200,0.19921111111111114,0.13333333333333333,0.30966666666666665,0.05,3000,0.5000833472245374
100,0.20766666666666667,0.13333333333333333,0.2853333333333333,0.05,3000,0.5000833472245374
50,0.1975222222222222,0.1,0.38266666666666665,0.05,3000,0.5000833472245374
20,0.16445555555555555,0.03333333333333333,0.5256666666666666,0.05,3000,0.5000833472245374
10,0.15066666666666667,0.0,0.5896666666666667,0.05,3000,0.5000833472245374
5,0.14423333333333335,0.0,0.6183333333333333,0.05,3000,0.5000833472245374
1,0.13756666666666667,0.0,0.6503333333333333,0.05,3000,0.5000833472245374
0,0.13546666666666665,0.0,0.6586666666666666,0.05,3000,0.5000833472245374
-1,0.13546666666666665,0.0,0.6586666666666666,0.05,3000,0.5000833472245374
