annotation,label,real_fraction,generated_fraction,difference,timestep
Superclass,Epithelial,0.04417263249237523,0.0,-0.04417263249237523,999
Superclass,Erythropoietic,0.2337774204662915,0.0,-0.2337774204662915,999
Superclass,Fibroblast,0.45721194951699146,1.0,0.5427880504830085,999
Superclass,Immune,0.05434324872707783,0.0,-0.05434324872707783,999
Superclass,Neural,0.0752906346107219,0.0,-0.0752906346107219,999
Superclass,Neural crest,0.041090820923139745,0.0,-0.041090820923139745,999
Superclass,Other,0.0009507037760167426,0.0,-0.0009507037760167426,999
Superclass,Vascular endothelial,0.04750966655181654,0.0,-0.04750966655181654,999
Superclass,Vascular perivascular,0.04565292293556908,0.0,-0.04565292293556908,999
celltype,Anteromedial cerebral pole glioblast,0.0011421206436711203,0.0,-0.0011421206436711203,999
celltype,Anteromedial cerebral pole radial glia,0.001837601929482026,0.0,-0.001837601929482026,999
celltype,Arachnoid,0.00877965366308079,0.0,-0.00877965366308079,999
celltype,Arachnoid barrier,0.0032285645011038374,0.0,-0.0032285645011038374,999
celltype,Arachnoid-dura border,0.0011165983946505365,0.0,-0.0011165983946505365,999
celltype,Arachnoid-forebrain,0.013016347000497685,0.0,-0.013016347000497685,999
celltype,Arachnoid-hindbrain,0.019530901063001673,0.0,-0.019530901063001673,999
celltype,Arterial capillary,0.004574863136939627,0.0,-0.004574863136939627,999
celltype,Arteriole,0.0028521113280502277,0.0,-0.0028521113280502277,999
celltype,Artery,0.006201906512001838,0.0,-0.006201906512001838,999
celltype,B lineage,0.00016589461863379402,0.0,-0.00016589461863379402,999
celltype,CD56-bright NK cells,0.0005933922897285709,0.0,-0.0005933922897285709,999
celltype,ChP Ciliogenic progenitor,0.017163712466342535,0.0,-0.017163712466342535,999
celltype,ChP Committed arachnoid precursor,0.0005359672294322575,0.0,-0.0005359672294322575,999
celltype,ChP Differentiated epithelia,0.029861031354082922,0.0,-0.029861031354082922,999
celltype,ChP Epithelia,0.0022012939780253434,0.0,-0.0022012939780253434,999
celltype,ChP Epithelial progenitor,0.0011995457039674336,0.0,-0.0011995457039674336,999
celltype,ChP Fibroblast,0.0008677564666998456,0.0,-0.0008677564666998456,999
celltype,ChP Macrophage,0.0003573114862881717,0.0,-0.0003573114862881717,999
celltype,ChP Macrophages,0.001595140563786481,0.0,-0.001595140563786481,999
celltype,ChP Meningeal fibroblast,0.020526268774804436,0.0,-0.020526268774804436,999
celltype,ChP Microglia,0.0012824930132843307,0.0,-0.0012824930132843307,999
celltype,ChP PTPRC+ fibroblast,0.015645138649617803,0.0,-0.015645138649617803,999
celltype,ChP Pericyte,0.006833582175261284,0.0,-0.006833582175261284,999
celltype,ChP Perivascular,0.0063933233796562156,0.0,-0.0063933233796562156,999
celltype,ChP Reticulocyte/RBC,0.004989599683524112,0.0,-0.004989599683524112,999
celltype,Chondrocyte,0.002826589079029644,0.0,-0.002826589079029644,999
celltype,Chondrogenic,0.05543432487270778,0.614,0.5585656751272922,999
celltype,Committed arachnoid precursor,0.005436239041384327,0.0,-0.005436239041384327,999
celltype,Committed arachnoid precursor-forebrain,0.03382336051452854,0.0,-0.03382336051452854,999
celltype,Committed arachnoid precursor-pia junction,0.018235646925207048,0.0,-0.018235646925207048,999
celltype,Committed dura precursor,0.0016461850618276483,0.0,-0.0016461850618276483,999
celltype,Committed dura precursor-early,0.0008486147799344078,0.0,-0.0008486147799344078,999
celltype,Committed dura precursor-forebrain,0.011797659609764812,0.0,-0.011797659609764812,999
celltype,Committed oligodendrocyte progenitor,0.0001403723696132103,0.0,-0.0001403723696132103,999
celltype,Committed pia precursor,0.02905069994767939,0.376,0.3469493000523206,999
celltype,Committed pia precursor-anterior,0.015160215918226715,0.0,-0.015160215918226715,999
celltype,Cycling erythroblast,0.02036675471842579,0.0,-0.02036675471842579,999
celltype,Dendritic cells,0.0017355129333996911,0.0,-0.0017355129333996911,999
celltype,Early precursor/BFU-E,0.011012850452381864,0.0,-0.011012850452381864,999
celltype,Endothelial,0.0005614894784528412,0.0,-0.0005614894784528412,999
celltype,Erythroblast,0.07007133468601254,0.0,-0.07007133468601254,999
celltype,Fatty acid metabolic - non-leptomeningeal,0.0020673021706672794,0.0,-0.0020673021706672794,999
celltype,Fibroblast-TAGAP,0.014120184270637928,0.0,-0.014120184270637928,999
celltype,Forebrain hem radial glia,0.0004976838559013821,0.0,-0.0004976838559013821,999
celltype,Forebrain neuroblast,0.0006635784745351761,0.0,-0.0006635784745351761,999
celltype,Forebrain neuron,0.00033178923726758804,0.0,-0.00033178923726758804,999
celltype,Forebrain progenitor,0.013871342342687238,0.0,-0.013871342342687238,999
celltype,Forebrain radial glia,0.0004849227313910902,0.0,-0.0004849227313910902,999
celltype,Hindbrain,0.007465257838520731,0.0,-0.007465257838520731,999
celltype,Hindbrain epithelia,0.0018056991182062963,0.0,-0.0018056991182062963,999
celltype,Hindbrain glioblast,0.001837601929482026,0.0,-0.001837601929482026,999
celltype,Hypothalamus interneuron,0.0008613759044446996,0.0,-0.0008613759044446996,999
celltype,ILC precursors,0.0005168255426668198,0.0,-0.0005168255426668198,999
celltype,Inner dura,0.007139849163508289,0.0,-0.007139849163508289,999
celltype,Isthmus radial glia,0.00023608080344039917,0.0,-0.00023608080344039917,999
celltype,LTMR mechanoreceptor,0.00034455036177787984,0.0,-0.00034455036177787984,999
celltype,Large artery,0.00030626698824700433,0.0,-0.00030626698824700433,999
celltype,MEMP-MEP,0.00012123068284777255,0.0,-0.00012123068284777255,999
