annotation,timestep,total_variation_distance,jensen_shannon_divergence
Superclass,999,0.5427880504830086,0.2398999128366454
celltype,999,0.9055149751796128,0.5373471770036092
Superclass,900,0.5427880504830086,0.2398999128366454
celltype,900,0.8849164529178312,0.5092578863879892
Superclass,700,0.24612138381634188,0.0368791000988246
celltype,700,0.5384462182407515,0.23076093562460603
Superclass,500,0.02798774932047012,0.0011795056413414764
celltype,500,0.2546331814759517,0.06962612710095518
Superclass,300,0.018158824955655108,0.000520005178716827
celltype,300,0.21227430037134873,0.05084422154247903
Superclass,200,0.02311612623304366,0.000661324234371483
celltype,200,0.2163923024896954,0.04979936356271662
Superclass,100,0.026116126233043664,0.0007753033574169233
celltype,100,0.21889368707170473,0.05417174393736694
Superclass,50,0.02820694715618342,0.0008942068488055044
celltype,50,0.22573487487717417,0.05876160386246475
Superclass,20,0.031116126233043676,0.0010005729585412513
celltype,20,0.26353258553143705,0.07361723298819402
Superclass,10,0.03311612623304368,0.0008178133920320009
celltype,10,0.2798438931638656,0.0787328892470488
Superclass,5,0.0342069471561834,0.000763896714636739
celltype,5,0.28771121575233216,0.08145534892753997
Superclass,1,0.03778279289971033,0.0009041577547637601
celltype,1,0.2958245217768589,0.0854296162097615
Superclass,0,0.03811612623304368,0.0009175580164518161
celltype,0,0.29482452177685897,0.08628221423582814
Superclass,-1,0.03811612623304368,0.0009175580164518161
celltype,-1,0.29482452177685897,0.08628221423582814
